,brand,model,variant,year,price,fuel_type,transmission,km_driven,ownership,body_type,city_id,car_age,price_segment
0,Tata,TIGOR,XT PETROL,2017,330000,Petrol,Manual,98038,1,Sedan,3686,9,Mid-Range
1,Tata,TIAGO NRG,PETROL,2019,432960,Petrol,Manual,28954,1,Hatchback,3686,7,Mid-Range
2,Tata,PUNCH,ADVENTURE MT,2022,575758,Petrol,Manual,13004,1,SUV,3686,4,Mid-Range
3,Tata,NEXON,XZA PLUS PETROL DARK EDITION,2023,845000,Petrol,Automatic,69004,1,SUV,3686,3,Premium
5,Tata,ALTROZ,XT PETROL,2020,499000,Petrol,Manual,28199,1,Hatchback,3686,6,Mid-Range
6,Tata,NEXON,XZA PLUS PETROL DUAL TONE,2019,496000,Petrol,Automatic,84719,3,SUV,3686,7,Mid-Range
7,Tata,Tiago,XZ PETROL,2017,315484,Petrol,Manual,92679,2,Hatchback,3686,9,Mid-Range
8,Tata,Tiago,XE DIESEL,2016,252000,Diesel,Manual,98516,1,Hatchback,3686,10,Budget
9,Tata,ALTROZ,XZ DIESEL,2021,572500,Diesel,Manual,75871,2,Hatchback,3686,5,Mid-Range
10,Tata,NEXON,XZ PLUS DIESEL DUAL TONE,2018,551250,Diesel,Manual,78169,1,SUV,3686,8,Mid-Range
11,Tata,Tiago,XZ PETROL,2019,387818,Petrol,Manual,88689,2,Hatchback,3686,7,Mid-Range
12,Tata,NEXON,XZ PLUS PETROL,2019,551225,Petrol,Manual,35054,3,SUV,3686,7,Mid-Range
13,Tata,Tiago,XT PETROL,2024,490000,Petrol,Manual,57214,1,Hatchback,3686,2,Mid-Range
14,Tata,Safari,XZ PLUS,2021,1140000,Diesel,Manual,120384,1,SUV,3686,5,Premium
15,Tata,NEXON,XZA PLUS (HS) PETROL,2022,800000,Petrol,Automatic,25843,2,SUV,3686,4,Premium
16,Tata,Tiago,XZ PLUS PETROL,2019,444000,Petrol,Manual,27915,1,Hatchback,3686,7,Mid-Range
17,Tata,Zest,XT PETROL,2015,280000,Petrol,Manual,47942,1,Sedan,3686,11,Budget
18,Tata,ALTROZ,XZA PLUS DARK EDTION,2023,712000,Petrol,Automatic,43481,1,Hatchback,3686,3,Premium
19,Tata,NEXON,XZ PLUS PETROL KAZIRANGA,2022,793000,Petrol,Manual,51223,1,SUV,3686,4,Premium
20,Tata,NEXON,XMA PLUS SUNROOF PETROL,2023,799000,Petrol,Automatic,40242,1,SUV,3686,3,Premium
21,Tata,NEXON,XZ PLUS (O) PETROL,2022,715000,Petrol,Manual,70049,2,SUV,3686,4,Premium
22,Tata,NEXON,XZA PLUS PETROL DUAL TONE,2019,688000,Petrol,Automatic,61833,1,SUV,3686,7,Mid-Range
23,Tata,ALTROZ,XM PLUS CNG,2025,764000,CNG,Manual,40018,1,Hatchback,3686,1,Premium
24,Tata,NEXON,XZ PLUS (O) PETROL,2021,744085,Petrol,Manual,72884,2,SUV,3686,5,Premium
25,Tata,PUNCH,ADVENTURE AMT,2025,770000,Petrol,Automatic,13085,1,SUV,3686,1,Premium
26,Tata,PUNCH,ADVENTURE MT,2022,594000,Petrol,Manual,44667,1,SUV,3686,4,Mid-Range
27,Tata,PUNCH,PURE MT,2022,490000,Petrol,Manual,23838,1,SUV,3686,4,Mid-Range
28,Tata,TIGOR,XZA PLUS PETROL,2023,688000,Petrol,Automatic,22069,2,Sedan,3686,3,Mid-Range
29,Tata,Tiago,XT (O) PETROL,2021,494000,Petrol,Manual,109347,2,Hatchback,3686,5,Mid-Range
30,Tata,NEXON,CREATIVE + 1.2 PETROL,2024,970417,Petrol,Manual,8120,1,SUV,3686,2,Premium
